Country,Gini coefficient 2005_2013,Internat_access_per100ppl_2015,Avg_CDVI,FEWS,HDI ,GDP,population,infant_mortality,urban,urban_growth,life_expectancy,female_policy,mobile,fuel_exports,fuel_imports,pm25,co2,energy,water,land,renewable,coal
Cuba,NA,31,0.557319,0.79,0.82,NA,11475982,5.5,77.184,0.269486941,79.54370732,48.9,35.49171001,NA,.,17.98569778,3.045210624,2.132253183,3332.2357,29.68659873,18.74847139,0
Cyprus,NA,NA,NA,0.56,0.85,32580.35064,1170125,2.7,66.84,0.663096419,80.29104878,17.9,134.4775234,NA,24.6543897,18.28597332,5.260352041,3.289743745,676.9017685,8.636363636,9.389138187,0
Czech Republic,26.4,81,-0.182557,0.71,0.86,34711.28294,10561633,3.4,72.98,0.13113365,79.47317073,20,115.4745669,2.644426517,8.140783568,21.40898739,9.165978376,5.716444372,1249.364985,40.70716228,12.75266949,1
Denmark,26.9,96,-0.230519,0.74,0.9,49695.96751,5731118,3.5,87.847,1.029470445,81.1,37.4,122.8939236,6.541816349,8.47625855,11.02259277,5.935712482,2.786787119,1063.174728,57.54578581,30.21992724,0
Djibouti,40,12,2.07498,0.42,0.47,NA,942333,65.3,77.43,1.70820042,62.24982927,12.7,37.8178544,NA,.,51.50224365,0.791961752,4.126723088,328.8882262,0.086281277,34.15104422,0
Dominica,NA,68,NA,0.77,0.72,10975.06471,73543,21.2,69.82,0.923468763,.,21.9,107.4325157,NA,.,13.55936883,1.864285911,2.782690025,2748.083212,8,9.865335026,0
Dominican Republic,45.7,52,1.13281,0.67,0.7,15208.91378,10648791,30.9,79.841,2.221299129,73.70368293,26.8,80.83152181,6.778126307,22.840509,20.41796867,2.069986634,2.430179066,2258.346368,16.55971848,18.3784571,0
Ecuador,46.6,49,2.305652,0.75,0.71,11286.17413,16385068,21.6,63.976,1.846349617,76.0815122,41.6,84.30334065,53.46938158,15.37292699,12.84155358,2.761702175,3.441266843,27818.45465,4.097680786,12.21814004,0
Egypt,30.8,36,2.92963,0.56,0.68,11131.71648,95688681,24,43.222,2.218280629,71.29565854,14.9,113.6982662,23.87798311,13.96207137,104.6666533,2.198980246,3.480340708,19.60515949,2.682204028,6.412560754,0
El Salvador,41.8,27,1.637369,0.69,0.66,8619.068674,6344722,16.8,67.189,1.200979294,73.00309756,32.1,140.7478517,2.583534807,17.47396052,37.0047886,1.000644623,3.516449541,2488.382375,36.1969112,28.16552091,0
Eritrea,NA,1,2.769949,0.27,0.38,NA,NA,46.5,NA,NA,64.62439024,22,7.294370822,NA,.,43.49048059,NA,4.948192957,.,6.831683168,80.30479379,0
Estonia,32.7,88,NA,0.78,0.84,29364.72111,1316481,2.9,67.468,-0.022177155,77.13170732,23.8,148.67534,10.31692726,14.7953309,9.404689495,14.84881917,7.230473336,9668.744699,15.28898325,25.24914376,0
Ethiopia,33.6,12,3.091623,0.25,0.44,1734.918233,102403196,59.2,19.922,4.786533988,65.00829268,38.8,50.5130341,0.025140129,17.31479642,35.73814656,0.119124015,14.59891042,1252.994168,15.119,92.71904179,0
Fiji,42.8,46,NA,0.6,0.72,9560.525,898760,22.4,54.099,1.426355594,70.22426829,16,103.3027513,0.006267315,24.24014874,7.870697243,1.320574708,3.116301518,32230.53355,9.031198686,37.56839126,0
Finland,27.8,93,0.061517,0.88,0.88,43052.7268,5495096,2.3,84.358,0.446183523,81.38536585,41.5,134.4753788,11.00024123,19.25957627,7.379235597,8.660721243,6.743381318,19591.64422,7.34081411,41.19126143,0
France,31.7,85,0.325683,0.84,0.88,41466.26571,66896109,4.3,79.75,0.696308865,82.67073171,26.2,103.4526224,3.903878421,14.68699436,12.36533737,4.572088353,4.123187259,3015.137937,33.4816284,13.13263803,0
Gabon,42.2,24,2.559247,0.64,0.67,18107.59942,1979786,50.8,87.366,2.77849466,65.68441463,14.2,144.1660721,NA,.,39.86049558,2.768265721,6.792438512,87433.41865,1.261303217,81.046204,0
Gambia,47.3,17,2.109082,0.41,0.44,1689.07559,2038501,68.9,60.224,4.021492946,60.95743902,9.4,139.6287262,NA,21.27013088,60.94814767,0.267684889,4.620075222,1564.250005,43.47826087,48.05810054,0
Georgia,41.4,45,0.483917,0.73,0.74,9996.935415,3719300,11.9,53.826,0.403420103,72.96612195,.,129.0941061,3.85185887,16.70003322,20.4763228,2.411541991,5.636552521,15596.9949,6.576485825,31.89297959,0
Germany,30.6,88,-0.067654,0.78,0.91,48729.59042,82667685,3.7,75.51,1.471035055,81.0902439,36.5,114.5288178,2.302879841,12.13211118,14.0153719,8.889370395,3.63329953,1321.273115,34.02407567,13.37887765,1
Ghana,42.8,23,1.76903,0.38,0.57,4293.57285,28206728,61.6,54.682,3.41404533,62.4072439,10.9,139.1290239,NA,.,22.98826426,0.536533378,3.626099348,1123.780406,20.65570889,45.21818084,0
Greece,34.7,67,0.456676,0.85,0.85,26783.02457,10746740,4.6,78.329,-0.275605998,81.58780488,19.7,112.7599929,38.50173602,34.37318451,13.48711001,6.180337268,3.626772097,5324.807276,20.17067494,16.08579315,1
Guatemala,52.4,27,3.282799,0.59,0.63,7946.771619,16582469,29.1,52.03,2.896471776,73.04297561,13.9,115.3433139,6.561547123,19.56662771,34.84767569,1.150977994,4.862508596,6857.763393,8.714072415,59.90320153,0
Guinea,33.7,5,2.432788,0.33,0.39,1310.687204,12395924,93.7,37.651,3.796177552,59.39895122,21.9,85.33367045,0.655053131,31.61988446,22.63592379,0.207492621,10.17288937,19143.60491,12.61598567,80.01224676,0
Guinea-Bissau,35.5,4,2.100827,0.38,0.4,1581.710425,1815698,92.5,50.094,4.052170993,56.95039024,13.7,70.25963885,NA,.,32.98647968,0.157241167,12.37991099,9271.363539,10.6685633,87.06002651,0
Guyana,NA,38,0.481223,0.75,0.64,7818.900522,773303,39.4,28.661,0.998489262,66.53936585,30.4,66.42847723,0.000645708,32.64250267,17.3922441,2.632347952,6.611909566,315695.8474,2.133604267,24.01520304,0
Haiti,59.2,12,1.102037,0.3,0.47,1784.182184,10847334,69,59.794,3.204536379,63.01078049,0,60.53671899,NA,.,25.837657,0.270538586,9.949935889,1230.554915,38.82438316,78.39122587,0
Honduras,57.4,20,2.828912,0.62,0.62,4738.079453,9112867,20.4,55.315,2.74566058,73.32460976,25.8,91.2196774,0.045370367,23.3759023,37.59004958,1.07522179,6.013099375,10291.49473,9.116096166,54.04094344,0
Hungary,28.9,73,-0.020668,0.84,0.82,26680.5941,9817958,5.9,71.672,0.367792228,75.96097561,10.1,119.1135215,3.342310344,12.08222695,23.05838255,4.265574976,4.084741088,608.1203527,48.6468574,10.36063762,1
Iceland,26.3,98,-0.944677,0.9,0.9,51398.92651,334252,2,94.23,1.132542418,82.86097561,47.6,118.0121358,1.991046094,17.21651988,7.78903328,6.059657407,18.17922927,519264.7212,1.208977556,76.42294532,0
India,33.6,26,1.139122,0.5,0.59,6572.336719,1324171354,47.7,33.136,2.329109667,68.33260976,12,86.95018782,19.62662315,41.31986448,74.32984681,1.730000432,4.944336871,1117.586747,52.58997911,36.53617235,1
Indonesia,38.1,22,2.046851,0.59,0.68,11612.06637,261115456,27.2,54.466,2.475676863,69.03863415,17.1,149.1275754,29.17976191,24.71846279,15.40820407,1.819363319,3.699009035,7913.578052,12.97217331,38.06613938,1
Iran,38.3,44,1.437192,0.68,0.75,NA,80277428,15.5,73.879,1.833323286,75.74263415,5.9,100.0746506,NA,NA,42.98979197,8.283020787,7.694951176,1638.798756,9.017289226,0.937924133,0
Iraq,29.5,17,2.792338,0.65,0.64,17353.47924,37202572,32,69.592,3.139184022,69.63460976,26.5,82.18155372,99.91338372,22.95143577,51.99596281,4.811839686,4.142730006,1005.539609,11.59053233,0.912104698,0
Ireland,32.1,80,0.499069,0.89,0.9,68882.87834,4773095,3.6,63.535,2.501155795,81.50243902,22.2,103.6471191,0.92938718,12.1008635,9.799825902,7.378117809,2.393193433,10612.43496,15.35781681,8.471724021,0
Israel,42.8,79,3.496887,0.61,0.89,37901.34697,8547100,4,92.205,2.043747065,82.05121951,26.7,131.6662255,1.144695922,17.67447669,21.09447276,7.863181348,3.66928137,91.28863031,13.88632163,9.342675305,0
Italy,35.5,66,-0.028346,0.82,0.87,38160.67359,60600590,3.5,69.116,0.005885377,83.4902439,31,140.4254958,3.759572046,16.71545273,19.86123293,5.270866786,3.031987599,3002.180982,22.87346162,17.090359,0
Jamaica,45.5,43,1.276256,0.7,0.72,8834.819084,2881355,15.7,55.03,0.768264209,75.80668293,17.5,115.5722826,22.29233913,33.20063668,16.99207352,2.59321537,5.103335736,3780.458106,11.08033241,15.98840418,0
Japan,32.1,93,-0.185373,0.79,0.89,41469.85471,126994511,2.7,93.928,0.343564293,83.84365854,9.5,129.7529409,2.198186266,32.27386767,13.33416293,9.538706103,4.087955017,3378.484553,11.58382708,5.52698149,1
Jordan,33.7,53,3.730464,0.47,0.75,9050.071964,9455802,17.9,83.905,3.45557866,74.19102439,15.4,196.3111358,0.168398552,27.96657544,38.79814209,3.002514727,4.508731014,77.41813033,2.675152061,3.13049941,0
Kazakhstan,28.6,73,-1.528823,0.82,0.76,25263.81024,17797032,14.1,53.229,1.39743627,72,27.1,149.9946399,76.62713116,5.687438336,19.66999774,14.36238966,7.603113287,3721.971559,10.88824684,1.362599317,1
Kenya,47.7,46,3.470087,0.33,0.54,3155.94041,48461567,49.4,26.055,4.23675858,66.64565854,19.7,81.28155256,NA,NA,16.29880428,0.310415314,7.824043516,449.7628967,10.19081421,75.51816658,0
Kuwait,NA,82,1.949983,0.39,0.81,NA,4052584,8.6,98.358,2.940473391,74.74682927,1.5,146.5511282,95.2221086,0.678217855,67.43349003,25.22386443,5.40849365,0,0.533108866,0,0
Kyrgyzstan,NA,30,-0.162889,0.69,0.63,3551.152704,6082700,21.3,35.85,2.489543985,70.65121951,19.2,131.3766535,NA,NA,16.92166624,1.646395339,8.558790998,8384.885614,6.676746611,28.2504208,0
Lao People's DemNARep.,33.4,18,2.491316,0.4,0.57,6186.084162,6758353,66.7,39.654,4.06411622,66.28404878,27.5,55.39316947,NA,NA,32.56943026,0.297200884,2.302410416,28952.02343,6.60745234,90.34351488,0
Latvia,36.2,79,-0.052529,0.8,0.81,26031.00442,1960424,7.9,67.361,-0.899797934,74.12439024,18,131.1592991,7.586579394,14.05815807,20.41799195,3.498192882,4.135499853,8496.415355,19.44355098,40.23606125,0
Lebanon,36,74,2.364714,0.68,0.77,13995.65225,6006668,8.3,87.914,2.756448566,79.4982439,3.1,96.37083293,1.097492287,23.98309739,32.60158923,4.295732552,4.14976599,856.6412631,12.90322581,3.203544468,0
Lesotho,NA,16,1.453974,0.34,0.49,3029.335431,2203821,90.2,27.84,3.247536073,53.57009756,25,106.574927,NA,NA,24.70117006,1.150111032,11.01950053,2437.336453,8.969038208,51.81579507,0
Liberia,54.2,6,3.468522,0.33,0.41,812.8867372,4613823,69.9,50.1,3.305927722,61.98021951,11,83.09673035,NA,NA,7.851815034,0.212967664,24.01874978,45550.43948,5.1910299,89.81932607,0
Libya,38.2,19,2.916103,0.53,0.78,NA,6293253,13.4,78.754,1.184934295,71.83039024,16,119.7847459,NA,NA,79.20020559,9.186845393,8.032843789,112.8284678,0.977528218,1.753929182,0
Lithuania,NA,71,-0.33462,0.76,0.83,29966.12707,2872298,5.2,66.512,-1.123001709,75.1195122,21.3,140.7098117,17.68516519,24.44023164,19.06499459,4.378090123,3.876100523,5272.191373,37.5131684,28.07216559,0
Luxembourg,NA,NA,NA,0.91,0.88,105881.7605,582972,1.9,90.432,2.620957369,82.22926829,28.3,147.8367286,0.814519549,9.872267438,16.58784625,17.36212137,3.143994175,1797.529835,24.17374517,6.966288592,0
Macedonia,44.2,70,NA,0.7,0.73,15121.25165,2081206,5.5,57.204,0.266201315,75.52431707,33.3,100.6936412,1.755122201,14.44191243,40.4789043,3.614938183,4.304467818,2599.284234,16.41554322,18.30179467,1
Madagascar,NA,4,3.414022,0.28,0.5,1506.009345,24894551,49.6,35.741,4.484352478,65.50782927,20.5,41.78842306,3.864986353,21.92617446,19.67682043,0.130421321,5.184313328,14285.8348,6.015812994,73.56423356,0
Malawi,40.6,9,2.710005,0.25,0.41,1169.313739,18091575,64,16.454,4.017115507,62.54336585,16.7,40.32443197,0.044931583,13.49588156,25.72702911,0.07476291,5.461409106,945.5828217,40.30547306,80.57846674,0
Malaysia,46.2,71,1.338561,0.8,0.77,27680.76867,31187265,7,75.37,2.385554036,75.22019512,10.4,141.1722149,22.01118769,17.05991709,15.55640978,8.032991579,5.134946369,19187.49748,2.90366763,4.769773882,0
Maldives,NA,NA,NA,0.41,0.7,13198.88003,417492,8.6,46.54,4.196434615,77.12026829,5.9,222.9852803,0.046677738,28.70250922,29.05613639,3.328648379,3.993509568,74.81296758,13,0.907876857,0
Mali,37.4,10,2.593274,0.3,0.41,2117.218178,17994837,114.7,40.683,4.87528126,57.45770732,8.8,120.3134276,NA,NA,44.0063041,0.083228663,1.963952595,3537.142293,5.254099771,83.56128977,0
Malta,NA,NA,NA,0.55,0.83,37899.21063,436947,6.4,95.529,1.295576981,81.94634146,12.9,124.8213579,43.05728683,40.33608186,15.67337266,5.491524789,2.565373161,118.166247,28.03125,3.952173172,0
Mauritania,NA,15,2.12053,0.42,0.49,3853.534663,4301018,84.7,60.446,3.77392776,63.04636585,25.2,86.51966206,3.262655801,20.58707802,85.08515449,0.666822428,3.503129258,98.42713439,0.436596488,32.57984922,0
Mauritius,40.5,50,-0.208322,0.68,0.77,21087.74915,1263473,13.5,39.548,-0.241863223,74.35317073,11.6,144.2395617,0.000923462,19.25933645,14.95404587,3.353110472,2.623511794,2181.716093,36.94581281,10.64009215,0
Mexico,35.9,57,1.143014,0.74,0.76,17861.5687,127540423,13.2,79.517,1.64312093,76.88136585,42.4,88.2255718,10.60161306,8.373436081,20.23982419,3.866241113,3.850502581,3292.503075,11.82802541,9.798903322,1
Mongolia,NA,21,-1.655788,0.55,0.7,12220.39348,3027398,22.4,72.823,2.763912767,69.11587805,17.1,113.6270172,27.86524009,26.47622714,23.59317989,7.127326348,6.781725408,11901.92811,0.365096939,3.969469699,1
Morocco,30.6,57,2.772865,0.53,0.62,7837.904438,35276786,27.6,60.685,2.161954745,75.52014634,20.5,120.7233508,3.292297501,24.06378663,22.99104134,1.744379974,3.225049062,845.0355705,18.21644634,11.77795804,0
Mozambique,40.9,9,2.75593,0.3,0.39,1217.111397,28829476,78.5,32.508,3.789714313,57.60926829,39.6,66.25082328,30.03791295,19.47173531,19.53856529,0.309666607,16.58079926,3685.822138,7.184821588,88.85294877,0
Myanmar,45.7,22,1.149028,0.48,0.52,5772.895394,52885223,50,34.65,2.520636329,66.38563415,9.9,89.261539,NA,NA,54.38812189,0.416600362,3.242693499,19316.62592,16.52018129,68.52169606,0
Namibia,NA,22,2.248068,0.54,0.62,10584.96281,2479713,45.4,47.625,4.255007914,63.63643902,41.3,109.189536,1.481022686,6.374607644,21.44459626,1.583728667,3.315009316,2598.068656,0.971711062,27.61747334,0
Nepal,61.3,18,0.918211,0.38,0.54,2467.841139,28982771,35.8,18.995,3.153685951,69.86985366,29.6,111.6960279,0.00427692,20.39724817,74.99780697,0.283538526,7.669152136,6997.786729,14.74502965,84.37679559,0
Netherlands,32.8,93,0.298826,0.88,0.92,50898.08869,17018408,3.8,91.032,1.052785082,81.70731707,37.3,129.9519713,16.59400167,20.48150898,14.63752206,9.920138075,3.966115532,652.2380541,31.01810626,5.668454079,0
New Zealand,28.9,88,-0.097139,0.86,0.91,39058.6924,4692700,5.7,86.322,2.132715981,81.45682927,31.4,124.9764861,3.274231471,15.11444007,5.546610811,7.686575825,5.572048289,72510.36654,2.240704873,30.86475021,1
Nicaragua,NA,20,2.673283,0.61,0.61,5541.277284,6149928,22.1,59.107,1.66658573,75.038,41.3,122.1359784,0.335303664,17.58983927,27.3819724,0.808520856,5.416582683,25972.74325,12.49792255,51.84228127,0
Niger,45.7,2,2.188029,0.23,0.34,978.4021911,20672987,95.5,19.01,5.299270324,59.68187805,14.6,48.87478182,27.03187043,3.64630138,62.74462018,0.111073516,7.011105269,182.7846235,12.55230126,78.13167457,0
Nigeria,31.2,47,2.334981,0.4,0.5,5867.141985,185989640,108.8,48.597,4.322871078,52.97792683,5.6,81.82253473,90.85418686,16.30668831,37.95728931,0.545622113,5.635089918,1252.404915,37.33104955,87.27475791,0
Norway,43,97,-1.008087,0.9,0.94,59301.67024,5232929,2.6,80.734,1.174392954,82.1,39.6,110.0669767,64.90521705,5.3688324,9.07633792,9.270945132,3.651393661,74359.11012,2.208106887,57.0886188,0
Oman,26.8,74,3.414312,0.54,0.78,NA,4424762,11.6,78.088,5.79180675,77.12182927,1.2,159.2187308,83.53407271,5.778917516,53.28119972,15.44316719,6.524089385,353.452792,0.122778675,0,0
Pakistan,NA,18,1.888169,0.5,0.54,5249.288036,193203476,81.1,39.224,3.193724168,66.33217073,20.6,71.39413307,2.642198107,31.29578417,64.95375677,0.896264105,4.430746045,296.4220399,39.48733914,47.2055915,1
Panama,34.5,51,0.848493,0.75,0.77,23014.69004,4034119,17,66.895,2.075095247,77.81743902,18.3,172.301549,0.163619117,20.86401807,13.19621425,2.254311363,2.273620638,34989.87957,7.573311811,19.77078693,0
Paraguay,NA,44,1.951555,0.68,0.68,9576.561654,6725308,20.5,59.924,1.721324118,73.04297561,15,104.773063,22.74851466,15.43908868,14.853318,0.870219291,3.884101393,17855.55134,12.08155047,63.11691455,0
Peru,48,41,3.211026,0.65,0.74,13022.01745,31773839,16.9,78.924,1.657781535,74.71341463,27.7,117.0617122,14.47580894,14.23706658,27.8233501,1.993485949,2.806840377,52981.02362,3.2434375,25.63570064,0
Philippines,45.3,41,1.395152,0.62,0.66,7806.211272,103320222,28,44.289,1.375013106,69.00985366,29.8,109.1695706,2.959358921,20.20098659,23.48713422,1.055456846,3.028210623,4785.107276,18.74769427,28.7212886,1
Poland,43,68,-0.56254,0.69,0.83,27810.51663,37948016,5.2,60.531,-0.114343139,78.20487805,27.4,146.2073477,4.046633839,10.81722902,24.28187517,7.517151585,4.323205911,1410.090857,35.69025768,11.54735557,1
Portugal,32.8,69,0.24957,0.85,0.82,30624.17469,10324611,3.6,64.017,0.537670531,81.52195122,34.8,109.0946689,7.946930295,17.15983872,9.760644322,4.331554028,3.254304653,3653.473078,12.41209541,30.49879177,0
Republic of Korea,NA,NA,NA,0.75,0.89,35750.76998,51245707,3.4,82.592,0.594291337,82.15585366,17,122.6505247,9.007706172,33.14678276,28.66424214,11.57034541,6.625185736,1277.916641,15.1415675,2.838097595,1
Republic of Moldova,61.1,50,NA,0.62,0.66,5333.614925,3552000,15.8,45.089,0.149340866,71.37121951,21.8,110.9931725,0.253969896,13.1225099,20.5543623,1.386829142,8.160916062,455.517199,55.27836933,13.0473475,0
Romania,NA,56,-0.025712,0.77,0.79,23626.37274,19705301,11.1,54.749,-0.219105376,74.96097561,13.7,106.434876,5.758579617,9.363436789,19.57866345,3.516153691,3.482818598,2128.687764,38.15194715,24.34150754,1
